comp_id,bioactivity,data_split,smiles,comp_id_FAIL
AZITHROMYCIN,1,train,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,comp12
RUFLOXACIN HYDROCHLORIDE,1,train,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,comp13
CEFEPIME HYDROCHLORIDE,1,test,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1.[Cl-],comp14
PRULIFLOXACIN,1,train,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,comp15
GENETICIN,1,test,CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(C(C)O)C(O)C(O)C3N)C2O)OCC1(C)O,comp16
CLINAFOXACIN HYDROCHLORIDE,1,test,Cl.NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,comp17
TELENZEPINE HYDROCHLORIDE,1,train,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O.Cl,comp18
CEFONICID SODIUM,1,train,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12.[Na+].[Na+],comp19
TRIMETHOPRIM,1,train,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,comp20
OLOPATADINE HYDROCHLORIDE,1,train,CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21.Cl,comp21
FLEROXACIN,1,train,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,comp22
HETACILLIN POTASSIUM,1,train,CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)[O-].[K+],comp23
TOBRAMYCIN,1,validation,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,comp24
TRICLOSAN,1,train,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,comp25
CEFTIOFUR HYDROCHLORIDE,1,train,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CSC12)c1csc(N)n1.Cl,comp26
OFLOXACIN,1,train,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,comp27
CEFOTETAN,1,train,COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,comp28
ZIDOVUDINE [AZT],1,validation,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,comp29
PIROCTONE OLAMINE,1,train,CC(N)O.Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1,comp30
ENROFLOXACIN,1,train,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,comp31
CEFORANIDE,1,validation,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,comp32
FLUMEQUINE,1,train,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,comp33
PEFLOXACIN MESYLATE,1,train,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21.CS(=O)(=O)O,comp34
NORFLOXACIN,1,train,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,comp35
SARAFLOXACIN HYDROCHLORIDE,1,train,Cl.O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,comp36
CEFTEZOLE,1,train,O=C(Cn1cnnn1)NC1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CSC12,comp37
FURAZOLIDONE,1,validation,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,comp38
CEFMETAZOLE SODIUM,1,test,COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CSC21.[Na+],comp39
MOXIFLOXACIN HYDROCHLORIDE,1,train,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl,comp40
CEFOPERAZONE,1,train,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,comp41
AMINACRINE,1,train,Nc1c2ccccc2nc2ccccc12,comp42
NITROFURANTOIN,1,train,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,comp43
CLEROCIDIN,1,train,CC1CCC2(C)C(C=O)=CCCC2C1(C)CC1OC(O)C(=O)C12CO2,comp44
FLORFENICOL,1,train,CS(=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1,comp45
CEFAMANDOLE SODIUM,1,test,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1.[Na+],comp46
METHYLBENZETHONIUM CHLORIDE,1,test,Cc1cc(C(C)(C)CC(C)(C)C)ccc1OCCOCC[N+](C)(C)Cc1ccccc1.[Cl-],comp47
CEFUROXIME SODIUM,1,train,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1.[Na+],comp48
PIPERACILLIN SODIUM,1,train,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)[O-])c2ccccc2)C(=O)C1=O.[Na+],comp49
AMIKACIN HYDRATE,1,train,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O.O,comp50
CINACALCET HYDROCHLORIDE,1,train,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl,comp51
BLEOMYCIN (bleomycin B2 shown),1,train,CCC1OC(OC(c2c[nH]cn2)C(NC(=O)c2nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c2C)C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc2nc(-c3nc(C(=O)NCCCCNC(=N)N)cs3)cs2)C(C)O)C(OC2OC(CO)C(O)C(OC(N)=O)C2O)C(C)C1C.O=S(=O)(O)O.O=S(=O)(O)O,comp52
BENZETHONIUM CHLORIDE,1,test,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],comp53
NITROFURAZONE,1,train,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,comp54
MARBOFLOXACIN,1,train,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,comp55
COLISTIN SULFATE,1,train,CCC(C)C1NC(=O)C(CCN)NC(=O)C(NC(=O)C(CCN)NC(=O)C(NC(=O)C(CCN)NC(=O)CCCCC(C)C)C(C)O)CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(C(C)CC)NC1=O.O=S(=O)(O)O.O=S(=O)(O)O,comp56
BRONOPOL,1,train,O=[N+]([O-])C(Br)(CO)CO,comp57
PAZUFLOXACIN MESYLATE,1,train,CC1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.CS(=O)(=O)O,comp58
DIFLOXACIN HYDROCHLORIDE,1,train,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1.Cl,comp59
LOMEFLOXACIN HYDROCHLORIDE,1,train,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl,comp60
CIPROFLOXACIN,1,train,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,comp61
SPECTINOMYCIN HYDROCHLORIDE,1,train,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O.Cl.Cl,comp62
OXOLINIC ACID,1,train,CCn1cc(C(=O)[O-])c(=O)c2cc3c(cc21)OCO3.[K+],comp63
MOXALACTAM DISODIUM,1,train,COC1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)COC21.[Na+].[Na+],comp64
BEKANAMYCIN SULFATE,1,train,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O.O=S(=O)(O)O,comp65
NADIFLOXACIN,1,train,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,comp66
THIMEROSAL,1,train,CC[Hg]Sc1ccccc1C(=O)[O-].[Na+],comp67
CEFTIBUTEN,1,train,Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,comp68
ORBIFLOXACIN,1,train,CC1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,comp69
DONEPEZIL HYDROCHLORIDE,1,validation,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,comp70
ENOXACIN,1,train,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,comp71
CEFACLOR,1,train,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,comp72
DIMENHYDRINATE,1,test,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,comp73
CEFDITORIN PIVOXIL,1,train,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,comp74
BUSPIRONE HYDROCHLORIDE,1,train,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,comp75
CEFTRIAXONE SODIUM TRIHYDRATE,1,train,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CSC12)c1csc(N)n1.O.O.O.[Na+].[Na+],comp76
SPARFLOXACIN,1,test,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,comp77
RONNEL,1,train,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,comp78
AZTREONAM,1,train,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,comp79
TELITHROMYCIN,1,train,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)OC12C,comp80
RIFAXIMIN,1,train,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,comp81
AZACITIDINE,1,train,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,comp82
CEFDINIR,1,train,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,comp83
PIPEMIDIC ACID,1,train,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,comp84
DIAVERIDINE,1,train,COc1ccc(Cc2cnc(N)nc2N)cc1OC,comp85
MITOMYCIN,1,train,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,comp86
PYRITHIONE ZINC,1,train,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-],comp87
CEFTAZIDIME,1,test,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,comp88
BACAMPICILLIN HYDROCHLORIDE,1,validation,CCOC(=O)OC(C)OC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C.Cl,comp89
NOSCAPINE HYDROCHLORIDE,1,train,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C.Cl,comp90
CHLORAMPHENICOL SODIUM SUCCINATE,1,train,O=C([O-])CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1.[Na+],comp91
MEROPENEM,1,train,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,comp92
TETRACYCLINE HYDROCHLORIDE,1,validation,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12.Cl,comp93
CETRIMONIUM BROMIDE,1,train,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],comp94
FLOXURIDINE,1,train,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,comp95
COLISTIMETHATE SODIUM,1,test,CCC(C)C1NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)C(C)O)CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(C(C)CC)NC1=O.[Na+].[Na+].[Na+].[Na+].[Na+],comp96
CICLOPIROX OLAMINE,1,train,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,comp97
CINOXACIN,1,train,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,comp98
NITROXOLINE,1,test,O=[N+]([O-])c1ccc(O)c2ncccc12,comp99
BENZALKONIUM CHLORIDE HYDRATE,1,train,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.[Cl-],comp100
METHACYCLINE HYDROCHLORIDE,1,train,C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12.Cl,comp101
HEXACHLOROPHENE,1,train,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,comp102
PHENYLMERCURIC ACETATE,1,train,CC(=O)O[Hg]c1ccccc1,comp103
DEMECLOCYCLINE HYDROCHLORIDE,1,train,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12.Cl,comp104
CHLOROACETOXYQUINOLINE,1,validation,CC(=O)Oc1ccc(Cl)c2cccnc12,comp105
OXYTETRACYCLINE,1,test,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl,comp106
CHLORTETRACYCLINE HYDROCHLORIDE,1,train,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12.Cl,comp107
DOXYCYCLINE HYDROCHLORIDE,1,train,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.Cl,comp108
MINOCYCLINE HYDROCHLORIDE,1,train,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O.Cl,comp109
DIHYDROSTREPTOMYCIN SESQUISULFATE [5mM/10% aq DMSO],1,train,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O.O=S(=O)(O)O,comp110
CEFOXITIN SODIUM,1,test,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC21.[Na+],comp111
CETYLPYRIDINIUM CHLORIDE,1,train,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],comp112
RIFAPENTINE,1,validation,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,comp113
CEFCAPENE PIVOXIL HYDROCHLORIDE,1,train,CCC=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CSC12)c1csc(N)n1.Cl,comp114
RIFAMPIN,1,train,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,comp115
TOSUFLOXACIN TOLUENESULFONATE HYDRATE,1,train,Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1.O,comp116
CETALKONIUM CHLORIDE,1,train,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],comp117
OXYQUINOLINE HEMISULFATE,1,validation,O=S(=O)(O)O.Oc1cccc2cccnc12,comp118
CHLOROXINE,1,train,Oc1c(Cl)cc(Cl)c2cccnc12,comp119
BITHIONOL,0,train,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,comp120
CYCLOHEXIMIDE,0,train,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,comp121
SERTRALINE HYDROCHLORIDE,0,train,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,comp122
AZLOCILLIN SODIUM,0,train,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+],comp123
ETHACRIDINE LACTATE,0,train,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,comp124
QUETIAPINE FUMARATE,0,validation,O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,comp125
PRANOPROFEN,0,validation,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,comp126
MEFLOQUINE HYDROCHLORIDE,0,train,Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,comp127
BIAPENEM,0,train,CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)C(C)C12,comp128
PENTETIC ACID,0,train,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,comp129
SULBACTAM,0,train,CC1(C)C(C(=O)O)N2C(=O)CC2S1(=O)=O,comp130
CEFAMANDOLE NAFATE,0,train,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(OC=O)c3ccccc3)C2SC1.[Na+],comp131
THIAMPHENICOL,0,train,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,comp132
BROXYQUINOLINE,0,test,Oc1c(Br)cc(Br)c2cccnc12,comp133
HEXETIDINE,0,train,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,comp134
KITASAMYCINS [A1 shown],0,test,COC1C(O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,comp135
DACARBAZINE,0,train,CN(C)N=Nc1[nH]cnc1C(N)=O,comp136
ERYTHROMYCIN,0,train,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,comp137
DICHLOROPHEN,0,train,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,comp138
DISULFIRAM,0,test,CCN(CC)C(=S)SSC(=S)N(CC)CC,comp139
CLOXYQUIN,0,train,Oc1ccc(Cl)c2cccnc12,comp140
DIRITHROMYCIN,0,train,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O,comp141
SULOCTIDIL,0,train,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,comp142
ARTEMETHER,0,train,COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,comp143
CARMOFUR,0,train,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,comp144
CLIOQUINOL,0,train,Oc1c(I)cc(Cl)c2cccnc12,comp145
CHLOROXYLENOL,0,test,Cc1cc(O)cc(C)c1Cl,comp146
HEXYLRESORCINOL,0,train,CCCCCCc1ccc(O)cc1O,comp147
FLUOROURACIL,0,train,O=c1[nH]cc(F)c(=O)[nH]1,comp148
PROFLAVINE HEMISULFATE,0,test,Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,comp149
THIRAM,0,train,CN(C)C(=S)SSC(=S)N(C)C,comp150
PERHEXILINE MALEATE,0,train,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)C=CC(=O)O,comp151
NITAZOXANIDE,0,train,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,comp152
MUPIROCIN,0,validation,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,comp153
BROXALDINE,0,train,Cc1ccc2c(Br)cc(Br)c(OC(=O)c3ccccc3)c2n1,comp154
CARVEDILOL PHOSPHATE,0,train,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O,comp155
SALICYLANILIDE,0,train,O=C(Nc1ccccc1)c1ccccc1O,comp156
CLARITHROMYCIN,0,train,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,comp157
FLUDARABINE PHOSPHATE,0,validation,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,comp158
CHLORMIDAZOLE,0,train,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,comp159
CEFPODOXIME PROXETIL,0,train,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,comp160
CHLORAMPHENICOL PALMITATE,0,train,CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,comp161
OXYCLOZANIDE,0,train,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,comp162
ARTEMISININ,0,train,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,comp163
CARBADOX,0,train,COC(=O)NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-],comp164
FURALTADONE,0,train,O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1,comp165
IODOFORM,0,train,IC(I)I,comp166
PENICILLIN G POTASSIUM,0,train,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-].[K+],comp167
CHINIOFON,0,train,O=S(=O)([O-])c1cc(I)c(O)c2ncccc12.[Na+],comp168
ACRISORCIN,0,train,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,comp169
PENICILLIN V POTASSIUM,0,train,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)[O-].[K+],comp170
BENZYL ISOTHIOCYANATE,0,train,S=C=NCc1ccccc1,comp171
DIDANOSINE,0,train,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,comp172
ROBENIDINE HYDROCHLORIDE,0,train,Cl.N=C(NN=Cc1ccc(Cl)cc1)NN=Cc1ccc(Cl)cc1,comp173
ROXITHROMYCIN,0,validation,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,comp174
DEQUALINIUM CHLORIDE,0,train,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21.[Cl-].[Cl-],comp175
CEFALONIUM,0,train,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cc4cccs4)C3SC2)cc1,comp176
ARTENIMOL,0,train,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,comp177
SANGUINARIUM CHLORIDE,0,train,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-],comp178
TAMOXIFEN CITRATE,0,validation,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,comp179
METITEPINE MESYLATE,0,validation,CS(=O)(=O)O.CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,comp180
CLOSANTEL,0,train,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,comp181
RIBAVIRIN,0,train,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,comp182
