,comp_id,bioactivity,data_split,smiles
56517,CHEMBL1230609,0,test,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1
57054,CHEMBL1231124,0,test,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1
57992,CHEMBL1233300,0,train,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1
58321,CHEMBL1233528,0,test,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C
58836,CHEMBL1234354,0,test,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1
59327,CHEMBL1235645,1,test,N#CCc1ccc(Nc2nccc(Nc3cc(C4CC4)[nH]n3)n2)cc1
59482,CHEMBL1236107,0,test,Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1
59917,CHEMBL1236682,0,test,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1
60246,CHEMBL1236962,0,test,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F
62604,CHEMBL1241855,0,test,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)O)c2)c(OC)c1
63947,CHEMBL1242556,1,train,CN(C)CCC(=O)Nc1n[nH]c2nnc(-c3ccccc3)cc12
74646,CHEMBL1276446,1,test,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
76633,CHEMBL1287853,0,test,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
78333,CHEMBL1289494,0,test,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
78714,CHEMBL1289601,0,test,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O
79290,CHEMBL1289926,0,test,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
81375,CHEMBL1300063,1,test,CCOC(=O)c1ccc2ncc(C(=O)OCC)c(Nc3ccc(N4CCOCC4)cc3)c2c1
84891,CHEMBL1310209,1,test,COC(=O)c1nnn(-c2nonc2N)c1CSc1nc2ccccc2s1
96315,CHEMBL1341040,1,test,O=C(Nc1cccc(Cl)c1)Nc1ccnc(-c2cccnc2)n1
97246,CHEMBL1344120,1,test,O=C(CSc1ccc2nnc(-c3cccs3)n2n1)N1CCCC1
100061,CHEMBL1352577,1,train,N#Cc1ccc(CSc2nnc(-c3ccncc3)o2)cc1
105723,CHEMBL1369106,1,validation,COc1ccccc1Nc1nc(NCCO)nc(N)c1[N+](=O)[O-]
111018,CHEMBL1382985,1,train,Nc1nc(NCCCN2CCOCC2)nc(Nc2ccc(F)cc2)c1[N+](=O)[O-]
119271,CHEMBL1405580,1,test,Nc1nc(Nc2cccc(F)c2)nc(NCCO)c1[N+](=O)[O-]
129746,CHEMBL1433424,1,validation,C=CCNc1nc(N)c([N+](=O)[O-])c(Nc2ccccc2OC)n1
134900,CHEMBL1447858,1,train,Nc1nc(NCCCN2CCOCC2)nc(Nc2cccc(Cl)c2)c1[N+](=O)[O-]
135230,CHEMBL1448605,1,test,CCNc1nc(N)c(C(=O)c2ccc(Cl)s2)s1
141182,CHEMBL1464354,1,test,COc1cccc(C(=O)c2sc(NC(C)C)nc2N)c1
143851,CHEMBL1471916,1,train,Fc1ccc(CSc2nnc(-c3ccncc3)o2)cc1
145560,CHEMBL14762,0,test,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
153689,CHEMBL1498228,1,test,COc1ccc2nc(NC(=O)CCNC(=O)c3ccccc3Cl)sc2c1
161800,CHEMBL1521195,1,train,Nc1nc(NCCCN2CCOCC2)nc(Nc2cccc(F)c2)c1[N+](=O)[O-]
166556,CHEMBL1534168,1,test,CCCn1nc(NC(=O)c2cccs2)c2cc3cc(OC)ccc3nc21
168163,CHEMBL1538986,1,test,Nc1nc(Nc2ccccc2)nc(NC2CCCCC2)c1[N+](=O)[O-]
170397,CHEMBL1545694,1,test,O=C(CN1C(=O)CCC1=O)Nc1cccc2c1C(=O)NC2=O
170876,CHEMBL1547186,1,test,Cn1c(SCc2nnc(-c3ccc(F)cc3)o2)nnc1C1COc2ccccc2O1
171049,CHEMBL1547788,1,test,c1ccc2c(CSc3nnc(-c4ccncc4)o3)cccc2c1
174554,CHEMBL155904,0,train,COc1cccc(C2=C(N(C)c3ccccc3)C(=O)NC2=O)c1
175833,CHEMBL156277,1,train,COc1ccccc1C1=C(Nc2cccc(Cl)c2)C(=O)NC1=O
176142,CHEMBL156379,1,train,O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1
176805,CHEMBL156563,1,train,CSc1ccc(NC2=C(c3ccccc3Cl)C(=O)NC2=O)cc1
182176,CHEMBL1580903,1,test,CCOC(=O)c1nnn(-c2nonc2N)c1CSc1ccc(C)cc1
182517,CHEMBL158208,1,train,COc1ccc(C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O)cc1
183709,CHEMBL1585498,1,test,COC(=O)c1ccc(CSc2ccc3nnc(-c4ccc(OC)cc4)n3n2)o1
189778,CHEMBL160333,1,train,O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1
190844,CHEMBL160585,1,test,COc1ccccc1C1=C(N2CCc3ccccc32)C(=O)NC1=O
190848,CHEMBL160586,1,train,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(Cl)c(C(=O)O)c1
193728,CHEMBL1614701,0,validation,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
194016,CHEMBL1614707,0,test,FC(F)(F)c1ccc(/C=C/c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1
194305,CHEMBL1614710,0,test,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12
194617,CHEMBL1614713,0,test,c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1
194907,CHEMBL1614725,0,test,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
195201,CHEMBL1614766,0,test,O=C(NOCCO)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F
195571,CHEMBL1615025,0,test,Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21
202913,CHEMBL1645462,0,test,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12
206532,CHEMBL1667969,0,test,O=c1[nH]ccc2cc(OC3CCNCC3)ccc12
206975,CHEMBL1668411,1,validation,COc1cc(O)c2c(c1)/C=C/C[C@@H](O)[C@H](O)C(=O)/C=C\\C[C@H](C)OC2=O
207014,CHEMBL1668418,0,validation,COc1cc(O)c2c(c1)/C=C/CCCC(=O)/C=C/C[C@H](C)OC2=O
207025,CHEMBL1668419,0,test,COc1cc(O)c2c(c1)CCCCCC(=O)/C=C/C[C@H](C)OC2=O
214511,CHEMBL1700288,1,train,COC(=O)c1ccc(CSc2nnc(-c3ccncc3)o2)cc1
218055,CHEMBL1731237,1,test,COc1ccc2nc3c(cc2c1)c(NC(=O)CC(C)C)nn3CC(C)C
218963,CHEMBL1738757,0,test,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1
219314,CHEMBL1738797,0,test,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
233312,CHEMBL1789941,0,test,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
236454,CHEMBL180022,0,test,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
237767,CHEMBL1801204,0,validation,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO
238780,CHEMBL1802358,1,test,O=C1NC(Nc2ccccc2)=N/C1=C\\c1ccc2c(c1)OCO2
245855,CHEMBL1822792,0,test,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1
246924,CHEMBL1824332,0,test,COc1ccc(CNC(=O)Nc2nc3ccc(-c4nnn[nH]4)cc3s2)cc1
246930,CHEMBL1824334,0,test,COc1ccc(CNC(=O)Nc2cc(-c3nnn[nH]3)ccn2)cc1
247113,CHEMBL1824539,0,test,COc1ccc(CNC(=O)Nc2cc(C#N)ccn2)cc1
247118,CHEMBL1824540,0,train,COc1ccc(CNC(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1
255183,CHEMBL1870845,1,test,O/N=C/c1cn(-c2ccccc2)nc1-c1cccnc1
255222,CHEMBL1871132,1,test,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccccc2Cl)c1CN1CCOCC1
255540,CHEMBL1873475,0,test,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
256320,CHEMBL1878704,1,test,NC1=NC(=O)/C(=C\\c2ccc(-c3ccccc3[N+](=O)[O-])o2)S1
256468,CHEMBL1879463,0,test,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
256953,CHEMBL1881885,1,test,O=C1c2ccccc2-c2onc3ccc(NCCCN4CCNC4)c1c23
257201,CHEMBL1884163,1,test,COc1cc(/C=N/Nc2ccc([N+](=O)[O-])cn2)cc(OC)c1O
258040,CHEMBL1890348,1,test,CCCN(CCC)Cc1c(C(=O)N/N=C/c2ccoc2)nnn1-c1nonc1N
258610,CHEMBL1895793,1,test,c1cncc(-c2nc(NCCCn3cccc3)c3ccccc3n2)c1
258641,CHEMBL1896042,1,test,O/N=C/c1cn(-c2ccccc2)nc1-c1ccc2c(c1)OCCO2
258651,CHEMBL1896181,1,test,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccccc2F)c1-c1cccs1
259146,CHEMBL189963,0,test,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
259980,CHEMBL1903171,1,validation,CN(C)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N
260206,CHEMBL1904855,1,test,CCOc1ccccc1/C=N/NC(=O)c1nnn(-c2nonc2N)c1CN1CCC(C)CC1
260279,CHEMBL1905464,1,test,CCCCOC(=O)C1C(C)=Nc2ncnn2C1c1cccc(OC)c1OC
260923,CHEMBL1908360,0,train,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
261223,CHEMBL1908391,0,test,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
261516,CHEMBL1908394,0,test,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
261819,CHEMBL1908395,1,test,CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl
262134,CHEMBL1908397,0,test,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1
263004,CHEMBL191003,1,test,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
268195,CHEMBL1922094,0,test,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12
276908,CHEMBL1944698,1,test,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1
278161,CHEMBL1945950,1,test,CC(C)(O)c1ccc(-c2cnc3[nH]c(=O)n(CC4CCCCC4)c3n2)cc1
278503,CHEMBL1946170,0,train,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
278895,CHEMBL1946262,1,test,O=c1[nH]c2ncc(-c3ccc4[nH]cnc4c3)nc2n1CC1CCCCC1
280461,CHEMBL1950289,0,test,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1
282113,CHEMBL1952329,0,test,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1
282859,CHEMBL1956071,1,test,CCn1c(-c2nonc2N)nc2cncc(C(=O)N3CC[C@H](N)C3)c21
287324,CHEMBL1976040,0,test,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
288770,CHEMBL1983111,0,test,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12
289080,CHEMBL1983268,0,test,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1
290529,CHEMBL1990583,1,test,Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
292493,CHEMBL2001019,0,test,OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1
297804,CHEMBL2017974,0,test,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1
301919,CHEMBL2028663,0,test,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1
302910,CHEMBL2029988,0,test,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC
308241,CHEMBL2041933,0,test,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
311654,CHEMBL2048872,0,test,N[C@@H]1CCCN(c2c(/C=C3\\SC(=O)NC3=O)cccc2-c2ccccc2)C1
316272,CHEMBL2064515,1,train,N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1
316277,CHEMBL2064516,1,train,N#Cc1cccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)c1
316279,CHEMBL2064517,1,train,N#Cc1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1
316281,CHEMBL2064518,1,train,N#Cc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)c1
316283,CHEMBL2064519,1,train,N#Cc1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1
316300,CHEMBL2064520,1,train,COC(=O)c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1
316305,CHEMBL2064521,1,train,N#Cc1cccc(CSc2nnc(-c3ccncc3)o2)c1
316307,CHEMBL2064522,1,test,c1cc(-c2nnn[nH]2)ccc1CSc1nnc(-c2ccc3c(c2)OCO3)o1
316309,CHEMBL2064531,1,train,c1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1
316314,CHEMBL2064532,1,train,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1
316319,CHEMBL2064533,1,train,N#Cc1ccccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1
316324,CHEMBL2064534,1,train,N#Cc1ccccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1
316329,CHEMBL2064535,1,train,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1
316334,CHEMBL2064536,1,train,N#Cc1ccccc1-c1ccc(CSc2nnc(-c3ccncc3)o2)cc1
316339,CHEMBL2064537,1,train,COCC1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1
316344,CHEMBL2064538,1,train,COC[C@@H]1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1
316349,CHEMBL2064539,1,train,COC[C@H]1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1
317027,CHEMBL206834,0,test,Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
320168,CHEMBL2079588,0,test,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1
321936,CHEMBL2087361,0,test,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1
325813,CHEMBL2103830,0,validation,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC
326145,CHEMBL2103839,0,train,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
326437,CHEMBL2103840,1,test,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12
326741,CHEMBL2103842,0,test,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1
327031,CHEMBL2103851,0,test,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1
327424,CHEMBL2103875,0,test,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
327733,CHEMBL2103882,0,test,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12
328821,CHEMBL2105717,0,test,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
329127,CHEMBL2105728,0,test,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1
329477,CHEMBL2105759,0,test,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
330960,CHEMBL2107832,0,test,O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F
331696,CHEMBL2110732,0,test,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1
337807,CHEMBL2133806,0,test,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1
338603,CHEMBL2138625,0,test,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1
339111,CHEMBL2140408,0,test,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1
340168,CHEMBL2146883,0,test,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1
345255,CHEMBL2158866,1,test,CCN(CC)S(=O)(=O)c1cc(Nc2nccc(-c3ccnc(-c4ccc(NC(=O)NC)cc4)c3)n2)ccc1Cl
348583,CHEMBL2165191,0,test,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1
350336,CHEMBL217092,0,test,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
355718,CHEMBL2180604,0,test,Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1
359241,CHEMBL220241,1,test,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21
361215,CHEMBL2205426,1,test,CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(-c4ccncc4)cc3)n2)c(=O)c1=O
364837,CHEMBL2216870,0,test,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
366284,CHEMBL2219422,0,test,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl
366904,CHEMBL2220486,0,test,CNC(=O)c1cccc2cc(Oc3ccnc4cc(OCC5(N)CC5)c(OC)cc34)ccc12
376964,CHEMBL230011,0,test,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1
380552,CHEMBL2313821,0,train,N#Cc1c(N)nc2sc(C(=O)c3ccc(Cl)cc3)c(N)c2c1-c1ccccc1I
380556,CHEMBL2313844,0,train,N#Cc1c(N)nc2sc(C(=O)c3cccc(Cl)c3)c(N)c2c1-c1ccccc1I
380671,CHEMBL2314102,0,train,COc1ccccc1-c1c(C#N)c(N)nc2sc(C(=O)c3ccccc3)c(N)c12
385184,CHEMBL2323775,0,test,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1
386910,CHEMBL2325741,0,test,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1
392406,CHEMBL2336325,0,validation,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1
396375,CHEMBL2348350,1,test,CN(C)C(=O)c1ccc(N2CCCN(c3ccnc4sc(C(N)=O)c(N)c34)CC2)cc1
399020,CHEMBL2364611,0,test,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1
403320,CHEMBL2376648,0,test,C[C@@H](Oc1cc(C(=O)Nc2ccc(C(=O)N3CCN(C)CC3)cc2)nnc1N)c1c(Cl)ccc(F)c1Cl
408122,CHEMBL2386747,1,validation,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1
408353,CHEMBL2386889,0,test,Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1
409879,CHEMBL2390958,1,train,N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccncc4)o3)cc2)cc1
410006,CHEMBL2391098,1,train,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccncc3)o2)cc1
410012,CHEMBL2391099,1,train,c1ccc(-c2ccc(CSc3nnc(-c4ccncc4)o3)cc2)cc1
410022,CHEMBL2391100,1,train,CC(=O)Nc1cc(-c2nnc(SCc3ccccc3)o2)ccn1
410028,CHEMBL2391101,1,train,CC(=O)Nc1cc(-c2nnc(SCc3cccc(C#N)c3)o2)ccn1
410034,CHEMBL2391102,1,train,CC(=O)Nc1cc(-c2nnc(SCc3ccc(-c4ccccc4C#N)cc3)o2)ccn1
410040,CHEMBL2391117,1,train,Fc1cc(F)cc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1
410046,CHEMBL2391118,1,train,COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c(C#N)c1
410052,CHEMBL2391119,1,train,COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1
410058,CHEMBL2391120,1,train,O=[N+]([O-])c1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1
410064,CHEMBL2391121,1,train,N#Cc1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1
